K,val_mse
896,1.4483049199043307e-05
897,1.4482135156868026e-05
898,1.4479887795459945e-05
899,1.447908016416477e-05
900,1.4478185221378226e-05
901,1.4477169315796345e-05
902,1.4477662261924706e-05
903,1.4477847798843868e-05
904,1.4477050171990413e-05
905,1.4478097909886856e-05
906,1.4477406693913508e-05
907,1.447652539354749e-05
908,1.4476036085397936e-05
909,1.4476809155894443e-05
910,1.4475436728389468e-05
911,1.4475941497948952e-05
912,1.4479697711067274e-05
913,1.4476400792773347e-05
914,1.4476757314696442e-05
915,1.4475561329163611e-05
916,1.4476476280833595e-05
917,1.4475343050435185e-05
918,1.4474528143182397e-05
919,1.4474474482994992e-05
920,1.4472704606305342e-05
921,1.4472926523012575e-05
922,1.447495560569223e-05
923,1.4476454452960752e-05
924,1.4474753697868437e-05
925,1.4475363059318624e-05
926,1.4477667718892917e-05
927,1.447679733246332e-05
928,1.4475002899416722e-05
929,1.4474638192041311e-05
930,1.447651993657928e-05
931,1.4474654562945943e-05
932,1.4474615454673767e-05
933,1.4470682799583301e-05
934,1.447188242309494e-05
935,1.4470962014456745e-05
936,1.4470642781816423e-05
937,1.4473228475253563e-05
938,1.4472109796770383e-05
939,1.447179511160357e-05
940,1.4471165741269942e-05
941,1.4470094356511254e-05
942,1.4470811038336251e-05
943,1.4471062968368642e-05
944,1.4472017028310802e-05
945,1.4470255337073468e-05
946,1.4468550034507643e-05
947,1.4467695109487977e-05
948,1.4468120753008407e-05
949,1.4470154383161571e-05
950,1.4468182598648127e-05
951,1.4466770153376274e-05
952,1.4467244000115898e-05
953,1.4466550965153147e-05
954,1.4466584616457112e-05
955,1.446561418561032e-05
956,1.4467093023995403e-05
957,1.4466907487076242e-05
958,1.4465903404925484e-05
959,1.4465891581494361e-05
960,1.4464703781413846e-05
961,1.4463765182881616e-05
962,1.4465146705333609e-05
963,1.4463652405538596e-05
964,1.4464974810834974e-05
965,1.4462147191807162e-05
966,1.4465313142864034e-05
967,1.4463965271716006e-05
968,1.446386431780411e-05
969,1.4463361367234029e-05
970,1.4463649677054491e-05
971,1.4463338629866485e-05
972,1.4461414139077533e-05
973,1.4462234503298532e-05
974,1.4462784747593105e-05
975,1.4465094864135608e-05
976,1.4464251762547065e-05
977,1.4464812011283357e-05
978,1.4466423635894898e-05
979,1.4466350876318756e-05
980,1.4470607311523054e-05
981,1.4471029317064676e-05
982,1.4470284440903924e-05
983,1.447226259188028e-05
984,1.446948681405047e-05
985,1.4469693269347772e-05
986,1.4470650967268739e-05
987,1.4470219866780099e-05
988,1.4469860616372898e-05
989,1.446951227990212e-05
990,1.4469900634139776e-05
991,1.4469917005044408e-05
992,1.4470979294856079e-05
993,1.4472802831733134e-05
994,1.4474254385277163e-05
995,1.4473522242042236e-05
996,1.4472268958343193e-05
997,1.446947135264054e-05
998,1.4470334463112522e-05
999,1.4471550457528792e-05
1000,1.4469872439804021e-05
